path_id,source,target,source_year,target_year,source_country,target_country,spc_weight,splc_weight,edge_position
6,US3910258A,US3706308A,1974.0,1970.0,US,US,0.01482605,0.00296521,10
6,US3706308A,US3384075A,1970.0,,US,US,0.0127019,0.0127019,11
7,US9895107B2,US6317627B1,,1999.0,US,US,9.155e-05,0.0,0
7,US6317627B1,US6067467A,1999.0,1998.0,US,US,0.00587232,1.27e-06,1
7,US6067467A,US5320109A,1998.0,1991.0,US,US,0.00586485,1.58e-06,2
7,US5320109A,US4974602A,1991.0,1989.0,US,US,0.00785258,4e-06,3
7,US4974602A,US4736751A,1989.0,1986.0,US,US,0.01195133,1.87e-05,4
7,US4736751A,US4649482A,1986.0,1984.0,US,US,0.05124629,0.00010029,5
7,US4649482A,US4498080A,1984.0,1983.0,US,US,0.03368413,0.00016431,6
7,US4498080A,US4201224A,1983.0,1978.0,US,US,0.01754988,0.0003375,7
7,US4201224A,US4092981A,1978.0,1976.0,US,US,0.08649491,0.00393159,8
7,US4092981A,US3890957A,1976.0,,US,US,0.02556995,0.00511399,9
